FileName | fileType | Tag(xpath or property) | tomlConfig | dataType | description | defaultValue | PossibleValues | Config Status
registry.xml | xml | /wso2registry[1]/remoteInstance[1]/id[1]/text()[1] |  |  |  |  |  | Not Needed
master-datasources.xml | xml | /datasources-configuration[1]/datasources[1]/datasource[3]/jndiConfig[1]/name[1]/text()[1] |  | String  | jndi name of the Identity DB | jdbc/WSO2IdentityDB |  | Not templated
master-datasources.xml | xml | /datasources-configuration[1]/datasources[1]/datasource[2]/jndiConfig[1]/name[1]/text()[1] |  | String  | jndi name of the shared DB | jdbc/SHARED_DB |  | Not Templated
identity.xml | xml | /Server[1]/OAuth[1]/OAuth1AuthorizeUrl[1]/text()[1] | oauth.endpoints.oauth1_authorize_url | String  | WSO2 Identity Server OAuth1 authorize URL | ${carbon.protocol}://${carbon.host}:${carbon.management.port}/oauth/authorize-url |  | Templated
identity.xml | xml | /Server[1]/OAuth[1]/OAuth2ErrorPage[1]/text()[1] | oauth.endpoints.oauth2_error_page | String  | WSO2 Identity Server OAuth2 Error page | ${carbon.protocol}://${carbon.host}:${carbon.management.port}/authenticationendpoint/oauth2_error.do |  | Templated
axis2.xml | xml | /axisconfig[1]/transportSender[4]/parameter[7]/text()[1] |  |  |  |  |  | Add Manually
registry.xml | xml | /wso2registry[1]/remoteInstance[1]/cacheId[1]/text()[1] | governance_data.cache_id | String | This is the cache_id, which is a unique value. |  |  | Templated
axis2.xml | xml | /axisconfig[1]/transportSender[4]/parameter[4]/text()[1] |  |  |  |  |  | Add Manually
user-mgt.xml | xml | /UserManager[1]/Realm[1]/UserStoreManager[1]/Property[3]/text()[1] |  |  |  |  |  | Add Manually
user-mgt.xml | xml | /UserManager[1]/Realm[1]/UserStoreManager[1]/Property[19]/text()[1] |  |  |  |  |  | Add Manually
user-mgt.xml | xml | /UserManager[1]/Realm[1]/UserStoreManager[1]/Property[29]/text()[1] |  |  |  |  |  | Add Manually
user-mgt.xml | xml | /UserManager[1]/Realm[1]/UserStoreManager[1]/Property[6]/text()[1] |  |  |  | ou=Users,dc=wso2,dc=org |  | Add Manually
identity.xml | xml | /Server[1]/OAuth[1]/RequiredRespHeaderClaimUris[1]/ClaimUri[9]/text()[1] |  |  |  |  |  | Removed
identity.xml | xml | /Server[1]/OAuth[1]/OAuth2ConsentPage[1]/text()[1] | oauth.endpoints.oauth2_consent_page | String | OAuth consent page URL | ${carbon.protocol}://${carbon.host}:${carbon.management.port}/authenticationendpoint/oauth2_consent.do |  | Templated
